Date,Home Team,Away Team,Home Goals,Away Goals
2021-01-08,M'gladbach,Bayern Munich,3,2
2021-01-09,Freiburg,FC Koln,5,0
2021-01-09,Leverkusen,Werder Bremen,1,1
2021-01-09,Mainz,Ein Frankfurt,0,2
2021-01-09,Schalke 04,Hoffenheim,4,0
2021-01-09,Union Berlin,Wolfsburg,2,2
2021-01-09,RB Leipzig,Dortmund,1,3
2021-01-10,Augsburg,Stuttgart,1,4
2021-01-10,Bielefeld,Hertha,1,0
2021-01-15,Union Berlin,Leverkusen,1,0
2021-01-16,Dortmund,Mainz,1,1
2021-01-16,FC Koln,Hertha,0,0
2021-01-16,Hoffenheim,Bielefeld,0,0
2021-01-16,Werder Bremen,Augsburg,2,0
2021-01-16,Wolfsburg,RB Leipzig,2,2
2021-01-16,Stuttgart,M'gladbach,2,2
2021-01-17,Bayern Munich,Freiburg,2,1
2021-01-17,Ein Frankfurt,Schalke 04,3,1
2021-01-19,M'gladbach,Werder Bremen,1,0
2021-01-19,Hertha,Hoffenheim,0,3
2021-01-19,Leverkusen,Dortmund,2,1
2021-01-19,Mainz,Wolfsburg,0,2
2021-01-20,Schalke 04,FC Koln,1,2
2021-01-20,Augsburg,Bayern Munich,0,1
2021-01-20,Bielefeld,Stuttgart,3,0
2021-01-20,Freiburg,Ein Frankfurt,2,2
2021-01-20,RB Leipzig,Union Berlin,1,0
2021-01-22,M'gladbach,Dortmund,4,2
2021-01-23,Augsburg,Union Berlin,2,1
2021-01-23,Bielefeld,Ein Frankfurt,1,5
2021-01-23,Freiburg,Stuttgart,2,1
2021-01-23,Leverkusen,Wolfsburg,0,1
2021-01-23,Mainz,RB Leipzig,3,2
2021-01-23,Hertha,Werder Bremen,1,4
2021-01-24,Schalke 04,Bayern Munich,0,4
2021-01-24,Hoffenheim,FC Koln,3,0
2021-01-29,Stuttgart,Mainz,2,0
2021-01-30,Bayern Munich,Hoffenheim,4,1
2021-01-30,Dortmund,Augsburg,3,1
2021-01-30,Ein Frankfurt,Hertha,3,1
2021-01-30,Union Berlin,M'gladbach,1,1
2021-01-30,Werder Bremen,Schalke 04,1,1
2021-01-30,RB Leipzig,Leverkusen,1,0
2021-01-31,FC Koln,Bielefeld,3,1
2021-01-31,Wolfsburg,Freiburg,3,0
2021-02-05,Hertha,Bayern Munich,0,1
2021-02-06,Augsburg,Wolfsburg,0,2
2021-02-06,Freiburg,Dortmund,2,1
2021-02-06,Leverkusen,Stuttgart,5,2
2021-02-06,Mainz,Union Berlin,1,0
2021-02-06,Schalke 04,RB Leipzig,0,3
2021-02-06,M'gladbach,FC Koln,1,2
2021-02-07,Hoffenheim,Ein Frankfurt,1,3
2021-02-12,RB Leipzig,Augsburg,2,1
2021-02-13,Dortmund,Hoffenheim,2,2
2021-02-13,Leverkusen,Mainz,2,2
2021-02-13,Stuttgart,Hertha,1,1
2021-02-13,Werder Bremen,Freiburg,0,0
2021-02-13,Union Berlin,Schalke 04,0,0
2021-02-14,Ein Frankfurt,FC Koln,2,0
2021-02-14,Wolfsburg,M'gladbach,0,0
2021-02-15,Bayern Munich,Bielefeld,3,3
2021-02-19,Bielefeld,Wolfsburg,0,3
2021-02-20,Ein Frankfurt,Bayern Munich,2,1
2021-02-20,FC Koln,Stuttgart,0,1
2021-02-20,Freiburg,Union Berlin,0,1
2021-02-20,M'gladbach,Mainz,1,2
2021-02-20,Schalke 04,Dortmund,0,4
2021-02-21,Augsburg,Leverkusen,1,1
2021-02-21,Hertha,RB Leipzig,0,3
2021-02-21,Hoffenheim,Werder Bremen,4,0
2021-02-26,Werder Bremen,Ein Frankfurt,2,1
2021-02-27,Bayern Munich,FC Koln,5,1
2021-02-27,Dortmund,Bielefeld,3,0
2021-02-27,Stuttgart,Schalke 04,5,1
2021-02-27,Wolfsburg,Hertha,2,0
2021-02-27,RB Leipzig,M'gladbach,3,2
2021-02-28,Union Berlin,Hoffenheim,1,1
2021-02-28,Mainz,Augsburg,0,1
2021-02-28,Leverkusen,Freiburg,1,2
2021-03-05,Schalke 04,Mainz,0,0
2021-03-06,Ein Frankfurt,Stuttgart,1,1
2021-03-06,Freiburg,RB Leipzig,0,3
2021-03-06,Hertha,Augsburg,2,1
2021-03-06,Hoffenheim,Wolfsburg,2,1
2021-03-06,M'gladbach,Leverkusen,0,1
2021-03-06,Bayern Munich,Dortmund,4,2
2021-03-07,FC Koln,Werder Bremen,1,1
2021-03-07,Bielefeld,Union Berlin,0,0
2021-03-10,Bielefeld,Werder Bremen,0,2
2021-03-12,Augsburg,M'gladbach,3,1
2021-03-13,Mainz,Freiburg,1,0
2021-03-13,Union Berlin,FC Koln,2,1
2021-03-13,Werder Bremen,Bayern Munich,1,3
2021-03-13,Wolfsburg,Schalke 04,5,0
