Date,Home Team,Away Team,Home Goals,Away Goals
2020-08-21,Bordeaux,Nantes,0,0
2020-08-22,Dijon,Angers,0,1
2020-08-22,Lille,Rennes,1,1
2020-08-23,Monaco,Reims,2,2
2020-08-23,Lorient,Strasbourg,3,1
2020-08-23,Nimes,Brest,4,0
2020-08-23,Nice,Lens,2,1
2020-08-28,Lyon,Dijon,4,1
2020-08-29,Rennes,Montpellier,2,1
2020-08-29,Strasbourg,Nice,0,2
2020-08-30,Reims,Lille,0,1
2020-08-30,Angers,Bordeaux,0,2
2020-08-30,Metz,Monaco,0,1
2020-08-30,Nantes,Nimes,2,1
2020-08-30,St Etienne,Lorient,2,0
2020-08-30,Brest,Marseille,2,3
2020-09-10,Lens,Paris SG,1,0
2020-09-11,Bordeaux,Lyon,0,0
2020-09-12,Montpellier,Nice,3,1
2020-09-12,St Etienne,Strasbourg,2,0
2020-09-13,Lille,Metz,1,0
2020-09-13,Angers,Reims,1,0
2020-09-13,Dijon,Brest,0,2
2020-09-13,Lorient,Lens,2,3
2020-09-13,Nimes,Rennes,2,4
2020-09-13,Monaco,Nantes,2,1
2020-09-13,Paris SG,Marseille,0,1
2020-09-15,Montpellier,Lyon,2,1
2020-09-16,Paris SG,Metz,1,0
2020-09-17,Marseille,St Etienne,0,2
2020-09-18,Lyon,Nimes,0,0
2020-09-19,Lens,Bordeaux,2,1
2020-09-19,Rennes,Monaco,2,1
2020-09-20,Nice,Paris SG,0,3
2020-09-20,Brest,Lorient,3,2
2020-09-20,Metz,Reims,2,1
2020-09-20,Montpellier,Angers,4,1
2020-09-20,Strasbourg,Dijon,1,0
2020-09-20,Nantes,St Etienne,2,2
2020-09-20,Marseille,Lille,1,1
2020-09-25,Lille,Nantes,2,0
2020-09-26,St Etienne,Rennes,0,3
2020-09-26,Marseille,Metz,1,1
2020-09-27,Bordeaux,Nice,0,0
2020-09-27,Angers,Brest,3,2
2020-09-27,Dijon,Montpellier,2,2
2020-09-27,Monaco,Strasbourg,3,2
2020-09-27,Nimes,Lens,1,1
2020-09-27,Lorient,Lyon,1,1
2020-09-27,Reims,Paris SG,0,2
2020-10-02,Paris SG,Angers,6,1
2020-10-03,Lens,St Etienne,2,0
2020-10-03,Nice,Nantes,2,1
2020-10-04,Montpellier,Nimes,0,1
2020-10-04,Bordeaux,Dijon,3,0
2020-10-04,Brest,Monaco,1,0
2020-10-04,Metz,Lorient,3,1
2020-10-04,Strasbourg,Lille,0,3
2020-10-04,Rennes,Reims,2,2
2020-10-04,Lyon,Marseille,1,1
2020-10-16,Dijon,Rennes,1,1
2020-10-16,Nimes,Paris SG,0,4
2020-10-17,Reims,Lorient,1,3
2020-10-17,Marseille,Bordeaux,3,1
2020-10-18,Strasbourg,Lyon,2,3
2020-10-18,Angers,Metz,1,1
2020-10-18,Monaco,Montpellier,1,1
2020-10-18,Nantes,Brest,3,1
2020-10-18,St Etienne,Nice,1,3
2020-10-18,Lille,Lens,4,0
2020-10-23,Rennes,Angers,1,2
2020-10-24,Lorient,Marseille,0,1
2020-10-24,Paris SG,Dijon,4,0
2020-10-25,Bordeaux,Nimes,2,0
2020-10-25,Brest,Strasbourg,0,3
2020-10-25,Metz,St Etienne,2,0
2020-10-25,Montpellier,Reims,0,4
2020-10-25,Nice,Lille,1,1
2020-10-25,Lyon,Monaco,4,1
2020-10-31,Rennes,Brest,2,1
2020-10-31,Nantes,Paris SG,0,3
2020-11-01,St Etienne,Montpellier,0,1
2020-11-01,Angers,Nice,0,3
2020-11-01,Dijon,Lorient,0,0
2020-11-01,Nimes,Metz,0,1
2020-11-01,Reims,Strasbourg,2,1
2020-11-01,Monaco,Bordeaux,4,0
2020-11-01,Lille,Lyon,1,1
2020-11-06,Strasbourg,Marseille,0,1
2020-11-07,Bordeaux,Montpellier,0,2
2020-11-07,Paris SG,Rennes,3,0
2020-11-08,Brest,Lille,3,2
2020-11-08,Lens,Reims,4,4
2020-11-08,Lorient,Nantes,0,2
2020-11-08,Metz,Dijon,1,1
2020-11-08,Nimes,Angers,1,5
2020-11-08,Nice,Monaco,1,2
2020-11-08,Lyon,St Etienne,2,1
2020-11-20,Rennes,Bordeaux,0,1
2020-11-20,Monaco,Paris SG,3,2
2020-11-21,Brest,St Etienne,4,1
2020-11-22,Nantes,Metz,1,1
2020-11-22,Dijon,Lens,0,1
2020-11-22,Montpellier,Strasbourg,4,3
2020-11-22,Reims,Nimes,0,1
2020-11-22,Angers,Lyon,0,1
2020-11-22,Lille,Lorient,4,0
2020-11-25,Lens,Nantes,1,1
2020-11-27,Strasbourg,Rennes,1,1
2020-11-28,Marseille,Nantes,3,1
2020-11-28,Paris SG,Bordeaux,2,2
2020-11-29,Lyon,Reims,3,0
2020-11-29,Lens,Angers,1,3
2020-11-29,Lorient,Montpellier,0,1
2020-11-29,Metz,Brest,0,2
2020-11-29,Monaco,Nimes,3,0
2020-11-29,Nice,Dijon,1,3
2020-11-29,St Etienne,Lille,1,1
2020-12-04,Nimes,Marseille,0,2
2020-12-05,Rennes,Lens,0,2
2020-12-05,Montpellier,Paris SG,1,3
2020-12-06,Lille,Monaco,2,1
2020-12-06,Angers,Lorient,2,0
2020-12-06,Bordeaux,Brest,1,0
2020-12-06,Dijon,St Etienne,0,0
2020-12-06,Nantes,Strasbourg,0,4
2020-12-06,Reims,Nice,0,0
2020-12-06,Metz,Lyon,1,3
2020-12-11,St Etienne,Angers,0,0
2020-12-12,Marseille,Monaco,2,1
2020-12-12,Lens,Montpellier,2,3
2020-12-13,Nice,Rennes,0,1
2020-12-13,Brest,Reims,2,1
2020-12-13,Lorient,Nimes,3,0
2020-12-13,Nantes,Dijon,1,1
2020-12-13,Strasbourg,Metz,2,2
2020-12-13,Lille,Bordeaux,2,1
2020-12-13,Paris SG,Lyon,0,1
2020-12-16,Angers,Strasbourg,0,2
2020-12-16,Dijon,Lille,0,2
2020-12-16,Montpellier,Metz,0,2
2020-12-16,Nimes,Nice,0,2
2020-12-16,Reims,Nantes,3,2
2020-12-16,Bordeaux,St Etienne,1,2
2020-12-16,Lyon,Brest,2,2
2020-12-16,Monaco,Lens,0,3
2020-12-16,Paris SG,Lorient,2,0
2020-12-16,Rennes,Marseille,2,1
2020-12-19,Metz,Lens,2,0
2020-12-19,Marseille,Reims,1,1
2020-12-19,Nice,Lyon,1,4
2020-12-20,Brest,Montpellier,2,2
2020-12-20,Dijon,Monaco,0,1
2020-12-20,Nantes,Angers,1,1
2020-12-20,St Etienne,Nimes,2,2
2020-12-20,Strasbourg,Bordeaux,0,2
2020-12-20,Lorient,Rennes,0,3
2020-12-20,Lille,Paris SG,0,0
2020-12-23,Bordeaux,Reims,1,3
2020-12-23,Lens,Brest,2,1
2020-12-23,Nice,Lorient,2,2
2020-12-23,Nimes,Dijon,1,3
2020-12-23,Rennes,Metz,1,0
2020-12-23,Angers,Marseille,2,1
2020-12-23,Lyon,Nantes,3,0
2020-12-23,Monaco,St Etienne,2,2
2020-12-23,Montpellier,Lille,2,3
2020-12-23,Paris SG,Strasbourg,4,0
2021-01-06,Brest,Nice,2,0
2021-01-06,Lorient,Monaco,2,5
2021-01-06,Metz,Bordeaux,0,0
2021-01-06,Nantes,Rennes,0,0
2021-01-06,Strasbourg,Nimes,5,0
2021-01-06,Lille,Angers,1,2
2021-01-06,Lyon,Lens,3,2
2021-01-06,Marseille,Montpellier,3,1
2021-01-06,Reims,Dijon,0,0
2021-01-06,St Etienne,Paris SG,1,1
2021-01-09,Bordeaux,Lorient,2,1
2021-01-09,Dijon,Marseille,0,0
2021-01-09,Lens,Strasbourg,0,1
2021-01-09,Metz,Nice,1,1
2021-01-09,Monaco,Angers,3,0
2021-01-09,Montpellier,Nantes,1,1
2021-01-09,Nimes,Lille,0,1
2021-01-09,Paris SG,Brest,3,0
2021-01-09,Reims,St Etienne,3,1
2021-01-09,Rennes,Lyon,2,2
2021-01-15,Montpellier,Monaco,2,3
2021-01-16,Marseille,Nimes,1,2
2021-01-16,Angers,Paris SG,0,1
2021-01-17,Brest,Rennes,1,2
2021-01-17,Nantes,Lens,1,1
2021-01-17,Nice,Bordeaux,0,3
2021-01-17,Strasbourg,St Etienne,1,0
2021-01-17,Lille,Reims,2,1
2021-01-17,Lyon,Metz,0,1
2021-01-20,Marseille,Lens,0,1
2021-01-22,Paris SG,Montpellier,4,0
2021-01-23,Lens,Nice,0,1
2021-01-23,Monaco,Marseille,3,1
2021-01-24,Bordeaux,Angers,2,1
2021-01-24,Dijon,Strasbourg,1,1
2021-01-24,Metz,Nantes,2,0
2021-01-24,Reims,Brest,1,0
2021-01-24,Rennes,Lille,0,1
2021-01-24,St Etienne,Lyon,0,5
2021-01-27,Lorient,Dijon,3,2
2021-01-29,Lyon,Bordeaux,2,1
2021-01-30,Montpellier,Lens,1,2
2021-01-31,Nice,St Etienne,0,1
2021-01-31,Angers,Nimes,3,1
2021-01-31,Brest,Metz,2,4
2021-01-31,Lorient,Paris SG,3,2
2021-01-31,Strasbourg,Reims,0,1
2021-01-31,Lille,Dijon,1,0
2021-01-31,Nantes,Monaco,1,2
2021-02-03,Bordeaux,Lille,0,3
2021-02-03,Metz,Montpellier,1,1
2021-02-03,Reims,Angers,0,0
2021-02-03,Rennes,Lorient,1,1
2021-02-03,Strasbourg,Brest,2,2
2021-02-03,Dijon,Lyon,0,1
2021-02-03,Lens,Marseille,2,2
2021-02-03,Monaco,Nice,2,1
2021-02-03,Paris SG,Nimes,3,0
2021-02-03,St Etienne,Nantes,1,1
2021-02-06,Lorient,Reims,1,0
2021-02-06,Lyon,Strasbourg,3,0
2021-02-06,Lens,Rennes,0,0
2021-02-07,Brest,Bordeaux,2,1
2021-02-07,Montpellier,Dijon,4,2
2021-02-07,Nice,Angers,3,0
2021-02-07,Nimes,Monaco,3,4
2021-02-07,St Etienne,Metz,1,0
2021-02-07,Nantes,Lille,0,2
2021-02-07,Marseille,Paris SG,0,2
2021-02-13,Paris SG,Nice,2,1
2021-02-13,Reims,Lens,1,1
2021-02-13,Lyon,Montpellier,1,2
2021-02-14,Monaco,Lorient,2,2
2021-02-14,Angers,Nantes,1,3
2021-02-14,Dijon,Nimes,0,2
2021-02-14,Metz,Strasbourg,1,2
2021-02-14,Rennes,St Etienne,0,2
2021-02-14,Lille,Brest,0,0
2021-02-14,Bordeaux,Marseille,0,0
2021-02-17,Marseille,Nice,3,2
2021-02-19,Brest,Lyon,2,3
2021-02-20,St Etienne,Reims,1,1
2021-02-20,Nantes,Marseille,1,1
2021-02-21,Montpellier,Rennes,2,1
2021-02-21,Lens,Dijon,2,1
2021-02-21,Nice,Metz,1,2
2021-02-21,Nimes,Bordeaux,2,0
2021-02-21,Strasbourg,Angers,0,0
2021-02-21,Lorient,Lille,1,4
2021-02-21,Paris SG,Monaco,0,2
2021-02-24,Nimes,Lorient,1,0
2021-02-26,Rennes,Nice,1,2
2021-02-27,Bordeaux,Metz,1,2
2021-02-27,Dijon,Paris SG,0,4
2021-02-28,Monaco,Brest,2,0
2021-02-28,Angers,Lens,2,2
2021-02-28,Lorient,St Etienne,2,1
2021-02-28,Nimes,Nantes,1,1
2021-02-28,Reims,Montpellier,0,0
2021-02-28,Lille,Strasbourg,1,1
2021-02-28,Marseille,Lyon,1,1
2021-03-03,Brest,Dijon,3,1
2021-03-03,Lyon,Rennes,1,0
2021-03-03,Metz,Angers,0,1
2021-03-03,Nice,Nimes,2,1
2021-03-03,St Etienne,Lens,2,3
2021-03-03,Bordeaux,Paris SG,0,1
2021-03-03,Lille,Marseille,2,0
2021-03-03,Montpellier,Lorient,1,1
2021-03-03,Nantes,Reims,1,2
2021-03-03,Strasbourg,Monaco,1,0
2021-03-10,Marseille,Rennes,1,0
2021-03-12,Reims,Lyon,1,1
2021-03-13,Angers,St Etienne,0,1
2021-03-13,Marseille,Brest,3,1
2021-03-14,Nimes,Montpellier,1,1
2021-03-14,Dijon,Bordeaux,1,3
2021-03-14,Lens,Metz,2,2
2021-03-14,Lorient,Nice,1,1
2021-03-14,Rennes,Strasbourg,1,0
2021-03-14,Monaco,Lille,0,0
2021-03-14,Paris SG,Nantes,1,2
2021-03-19,St Etienne,Monaco,0,4
2021-03-20,Metz,Rennes,1,3
2021-03-20,Nice,Marseille,3,0
2021-03-21,Strasbourg,Lens,1,2
