Date,Home Team,Away Team,Home Goals,Away Goals
2023-08-19,Empoli,Verona,0,1
2023-08-19,Frosinone,Napoli,1,3
2023-08-19,Genoa,Fiorentina,1,4
2023-08-19,Inter,Monza,2,0
2023-08-20,Roma,Salernitana,2,2
2023-08-20,Sassuolo,Atalanta,0,2
2023-08-20,Lecce,Lazio,2,1
2023-08-20,Udinese,Juventus,0,3
2023-08-21,Torino,Cagliari,0,0
2023-08-21,Bologna,Milan,0,2
2023-08-26,Frosinone,Atalanta,2,1
2023-08-26,Monza,Empoli,2,0
2023-08-26,Milan,Torino,4,1
2023-08-26,Verona,Roma,2,1
2023-08-27,Fiorentina,Lecce,2,2
2023-08-27,Juventus,Bologna,1,1
2023-08-27,Lazio,Genoa,0,1
2023-08-27,Napoli,Sassuolo,2,0
2023-08-28,Salernitana,Udinese,1,1
2023-08-28,Cagliari,Inter,0,2
2023-09-01,Sassuolo,Verona,3,1
2023-09-01,Roma,Milan,1,2
2023-09-02,Bologna,Cagliari,2,1
2023-09-02,Udinese,Frosinone,0,0
2023-09-02,Atalanta,Monza,3,0
2023-09-02,Napoli,Lazio,1,2
2023-09-03,Inter,Fiorentina,4,0
2023-09-03,Torino,Genoa,1,0
2023-09-03,Empoli,Juventus,0,2
2023-09-03,Lecce,Salernitana,2,0
2023-09-16,Juventus,Lazio,3,1
2023-09-16,Inter,Milan,5,1
2023-09-16,Genoa,Napoli,2,2
2023-09-17,Cagliari,Udinese,0,0
2023-09-17,Frosinone,Sassuolo,4,2
2023-09-17,Monza,Lecce,1,1
2023-09-17,Fiorentina,Atalanta,3,2
2023-09-17,Roma,Empoli,7,0
2023-09-18,Salernitana,Torino,0,3
2023-09-18,Verona,Bologna,0,0
2023-09-22,Salernitana,Frosinone,1,1
2023-09-22,Lecce,Genoa,1,0
2023-09-23,Milan,Verona,1,0
2023-09-23,Sassuolo,Juventus,4,2
2023-09-23,Lazio,Monza,1,1
2023-09-24,Empoli,Inter,0,1
2023-09-24,Atalanta,Cagliari,2,0
2023-09-24,Udinese,Fiorentina,0,2
2023-09-24,Bologna,Napoli,0,0
2023-09-24,Torino,Roma,1,1
2023-09-26,Juventus,Lecce,1,0
2023-09-27,Cagliari,Milan,1,3
2023-09-27,Empoli,Salernitana,1,0
2023-09-27,Verona,Atalanta,0,1
2023-09-27,Inter,Sassuolo,1,2
2023-09-27,Lazio,Torino,2,0
2023-09-27,Napoli,Udinese,4,1
2023-09-28,Frosinone,Fiorentina,1,1
2023-09-28,Monza,Bologna,0,0
2023-09-28,Genoa,Roma,4,1
2023-09-30,Lecce,Napoli,0,4
2023-09-30,Milan,Lazio,2,0
2023-09-30,Salernitana,Inter,0,4
2023-10-01,Bologna,Empoli,3,0
2023-10-01,Udinese,Genoa,2,2
2023-10-01,Atalanta,Juventus,0,0
2023-10-01,Roma,Frosinone,2,0
2023-10-02,Sassuolo,Monza,0,1
2023-10-02,Torino,Verona,0,0
2023-10-02,Fiorentina,Cagliari,3,0
2023-10-06,Empoli,Udinese,0,0
2023-10-06,Lecce,Sassuolo,1,1
2023-10-07,Inter,Bologna,2,2
2023-10-07,Juventus,Torino,2,0
2023-10-07,Genoa,Milan,0,1
2023-10-08,Monza,Salernitana,3,0
2023-10-08,Frosinone,Verona,2,1
2023-10-08,Lazio,Atalanta,3,2
2023-10-08,Cagliari,Roma,1,4
2023-10-08,Napoli,Fiorentina,1,3
2023-10-21,Verona,Napoli,1,3
2023-10-21,Torino,Inter,0,3
2023-10-21,Sassuolo,Lazio,0,2
2023-10-22,Roma,Monza,1,0
2023-10-22,Bologna,Frosinone,2,1
2023-10-22,Salernitana,Cagliari,2,2
2023-10-22,Atalanta,Genoa,2,0
2023-10-22,Milan,Juventus,0,1
2023-10-23,Udinese,Lecce,1,1
2023-10-23,Fiorentina,Empoli,0,2
2023-10-27,Genoa,Salernitana,1,0
2023-10-28,Sassuolo,Bologna,1,1
2023-10-28,Lecce,Torino,0,1
2023-10-28,Juventus,Verona,1,0
2023-10-29,Cagliari,Frosinone,4,3
2023-10-29,Monza,Udinese,1,1
2023-10-29,Inter,Roma,1,0
2023-10-29,Napoli,Milan,2,2
2023-10-30,Empoli,Atalanta,0,3
2023-10-30,Lazio,Fiorentina,1,0
2023-11-03,Bologna,Lazio,1,0
2023-11-04,Salernitana,Napoli,0,2
2023-11-04,Atalanta,Inter,1,2
2023-11-04,Milan,Udinese,0,1
2023-11-05,Verona,Monza,1,3
2023-11-05,Cagliari,Genoa,2,1
2023-11-05,Roma,Lecce,2,1
2023-11-05,Fiorentina,Juventus,0,1
2023-11-06,Frosinone,Empoli,2,1
2023-11-06,Torino,Sassuolo,2,1
2023-11-10,Sassuolo,Salernitana,2,2
2023-11-10,Genoa,Verona,1,0
2023-11-11,Lecce,Milan,2,2
2023-11-11,Juventus,Cagliari,2,1
2023-11-11,Monza,Torino,1,1
2023-11-12,Napoli,Empoli,0,1
2023-11-12,Fiorentina,Bologna,2,1
2023-11-12,Udinese,Atalanta,1,1
2023-11-12,Lazio,Roma,0,0
2023-11-12,Inter,Frosinone,2,0
2023-11-25,Salernitana,Lazio,2,1
2023-11-25,Atalanta,Napoli,1,2
2023-11-25,Milan,Fiorentina,1,0
2023-11-26,Cagliari,Monza,1,1
2023-11-26,Empoli,Sassuolo,3,4
2023-11-26,Frosinone,Genoa,2,1
2023-11-26,Roma,Udinese,3,1
2023-11-26,Juventus,Inter,1,1
2023-11-27,Verona,Lecce,2,2
2023-11-27,Bologna,Torino,2,0
2023-12-01,Monza,Juventus,1,2
2023-12-02,Genoa,Empoli,1,1
2023-12-02,Lazio,Cagliari,1,0
2023-12-02,Milan,Frosinone,3,1
2023-12-03,Lecce,Bologna,1,1
2023-12-03,Fiorentina,Salernitana,3,0
2023-12-03,Udinese,Verona,3,3
2023-12-03,Sassuolo,Roma,1,2
2023-12-03,Napoli,Inter,0,3
2023-12-04,Torino,Atalanta,3,0
2023-12-08,Juventus,Napoli,1,0
2023-12-09,Verona,Lazio,1,1
2023-12-09,Atalanta,Milan,3,2
2023-12-09,Inter,Udinese,4,0
2023-12-10,Frosinone,Torino,0,0
2023-12-10,Monza,Genoa,1,0
2023-12-10,Salernitana,Bologna,1,2
2023-12-10,Roma,Fiorentina,1,1
2023-12-11,Empoli,Lecce,1,1
2023-12-11,Cagliari,Sassuolo,2,1
2023-12-15,Genoa,Juventus,1,1
2023-12-16,Lecce,Frosinone,2,1
2023-12-16,Napoli,Cagliari,2,1
2023-12-16,Torino,Empoli,1,0
2023-12-17,Milan,Monza,3,0
2023-12-17,Fiorentina,Verona,1,0
2023-12-17,Udinese,Sassuolo,2,2
2023-12-17,Bologna,Roma,2,0
2023-12-17,Lazio,Inter,0,2
2023-12-18,Atalanta,Salernitana,4,1
2023-12-22,Empoli,Lazio,0,2
2023-12-22,Sassuolo,Genoa,1,2
2023-12-22,Monza,Fiorentina,0,1
2023-12-22,Salernitana,Milan,2,2
2023-12-23,Frosinone,Juventus,1,2
2023-12-23,Bologna,Atalanta,1,0
2023-12-23,Torino,Udinese,1,1
2023-12-23,Inter,Lecce,2,0
2023-12-23,Verona,Cagliari,2,0
2023-12-23,Roma,Napoli,2,0
2023-12-29,Fiorentina,Torino,1,0
2023-12-29,Napoli,Monza,0,0
2023-12-29,Genoa,Inter,1,1
2023-12-29,Lazio,Frosinone,3,1
2023-12-30,Atalanta,Lecce,1,0
2023-12-30,Cagliari,Empoli,0,0
2023-12-30,Udinese,Bologna,3,0
2023-12-30,Milan,Sassuolo,1,0
2023-12-30,Verona,Salernitana,0,1
2023-12-30,Juventus,Roma,1,0
2024-01-05,Bologna,Genoa,1,1
2024-01-06,Inter,Verona,2,1
2024-01-06,Frosinone,Monza,2,3
2024-01-06,Lecce,Cagliari,1,1
2024-01-06,Sassuolo,Fiorentina,1,0
2024-01-07,Empoli,Milan,0,3
2024-01-07,Torino,Napoli,3,0
2024-01-07,Udinese,Lazio,1,2
