Date,Home Team,Away Team,Home Goals,Away Goals
2023-12-20,Strasbourg,Lille,2,1
2023-12-20,Toulouse,Monaco,1,2
2024-01-12,Marseille,Strasbourg,1,1
2024-01-13,Monaco,Reims,1,3
2024-01-13,Rennes,Nice,2,0
2024-01-14,Lille,Lorient,3,0
2024-01-14,Brest,Montpellier,2,0
2024-01-14,Metz,Toulouse,0,1
2024-01-14,Nantes,Clermont,1,2
2024-01-14,Le Havre,Lyon,3,1
2024-01-14,Lens,Paris SG,0,2
2024-01-26,Lyon,Rennes,2,3
2024-01-27,Nice,Metz,1,0
2024-01-27,Marseille,Monaco,2,2
2024-01-28,Montpellier,Lille,0,0
2024-01-28,Clermont,Strasbourg,1,1
2024-01-28,Lorient,Le Havre,3,3
2024-01-28,Reims,Nantes,0,0
2024-01-28,Toulouse,Lens,0,2
2024-01-28,Paris SG,Brest,2,2
2024-02-02,Strasbourg,Paris SG,1,2
2024-02-03,Rennes,Montpellier,2,1
2024-02-03,Nantes,Lens,0,1
2024-02-04,Monaco,Le Havre,1,1
2024-02-04,Lille,Clermont,4,0
2024-02-04,Metz,Lorient,1,2
2024-02-04,Reims,Toulouse,2,3
2024-02-04,Brest,Nice,0,0
2024-02-04,Lyon,Marseille,1,0
2024-02-09,Marseille,Metz,1,1
2024-02-10,Lens,Strasbourg,3,1
2024-02-10,Paris SG,Lille,3,1
2024-02-11,Le Havre,Rennes,0,1
2024-02-11,Clermont,Brest,1,1
2024-02-11,Lorient,Reims,2,0
2024-02-11,Toulouse,Nantes,1,2
2024-02-11,Montpellier,Lyon,1,2
2024-02-11,Nice,Monaco,2,3
2024-02-16,Lyon,Nice,1,0
2024-02-17,Lille,Le Havre,3,0
2024-02-17,Nantes,Paris SG,0,2
2024-02-18,Strasbourg,Lorient,1,3
2024-02-18,Monaco,Toulouse,1,2
2024-02-18,Montpellier,Metz,3,0
2024-02-18,Rennes,Clermont,3,1
2024-02-18,Reims,Lens,1,1
2024-02-18,Brest,Marseille,1,0
2024-02-23,Metz,Lyon,1,2
2024-02-24,Lorient,Nantes,0,1
2024-02-24,Strasbourg,Brest,0,3
2024-02-25,Lens,Monaco,2,3
2024-02-25,Le Havre,Reims,1,2
2024-02-25,Nice,Clermont,0,0
2024-02-25,Toulouse,Lille,3,1
2024-02-25,Paris SG,Rennes,1,1
2024-02-25,Marseille,Montpellier,4,1
2024-03-01,Monaco,Paris SG,0,0
2024-03-02,Reims,Lille,0,1
2024-03-02,Clermont,Marseille,1,5
2024-03-03,Toulouse,Nice,2,1
2024-03-03,Brest,Le Havre,1,0
2024-03-03,Montpellier,Strasbourg,2,2
2024-03-03,Nantes,Metz,0,2
2024-03-03,Rennes,Lorient,1,2
2024-03-03,Lyon,Lens,0,3
2024-03-08,Nice,Montpellier,1,2
2024-03-09,Lorient,Lyon,0,2
2024-03-09,Lens,Brest,1,0
2024-03-10,Paris SG,Reims,2,2
2024-03-10,Le Havre,Toulouse,1,0
2024-03-10,Metz,Clermont,1,0
2024-03-10,Strasbourg,Monaco,0,1
2024-03-10,Lille,Rennes,2,2
2024-03-10,Marseille,Nantes,2,0
2024-03-15,Toulouse,Lyon,2,3
2024-03-16,Nantes,Strasbourg,1,3
2024-03-16,Lens,Nice,1,3
2024-03-17,Brest,Lille,1,1
2024-03-17,Clermont,Le Havre,2,1
2024-03-17,Monaco,Lorient,2,2
2024-03-17,Reims,Metz,2,1
2024-03-17,Rennes,Marseille,2,0
2024-03-17,Montpellier,Paris SG,2,6
2024-03-29,Lille,Lens,2,1
2024-03-30,Metz,Monaco,2,5
2024-03-30,Lyon,Reims,1,1
2024-03-31,Lorient,Brest,0,1
2024-03-31,Clermont,Toulouse,0,3
2024-03-31,Le Havre,Montpellier,0,2
2024-03-31,Nice,Nantes,1,2
2024-03-31,Strasbourg,Rennes,2,0
2024-03-31,Marseille,Paris SG,0,2
2024-04-05,Lille,Marseille,3,1
2024-04-06,Lens,Le Havre,1,1
2024-04-06,Paris SG,Clermont,1,1
2024-04-07,Brest,Metz,4,3
2024-04-07,Montpellier,Lorient,2,0
2024-04-07,Reims,Nice,0,0
2024-04-07,Toulouse,Strasbourg,0,0
2024-04-07,Monaco,Rennes,1,0
2024-04-07,Nantes,Lyon,1,3
2024-04-12,Metz,Lens,2,1
2024-04-13,Strasbourg,Reims,3,1
2024-04-13,Rennes,Toulouse,1,2
2024-04-14,Le Havre,Nantes,0,1
2024-04-14,Clermont,Montpellier,1,1
2024-04-14,Lyon,Brest,4,3
2024-04-19,Nice,Lorient,3,0
2024-04-20,Nantes,Rennes,0,3
2024-04-20,Lens,Clermont,1,0
2024-04-21,Le Havre,Metz,0,1
2024-04-21,Lille,Strasbourg,1,0
2024-04-21,Reims,Montpellier,1,2
2024-04-21,Brest,Monaco,0,2
2024-04-21,Toulouse,Marseille,2,2
2024-04-21,Paris SG,Lyon,4,1
2024-04-24,Lorient,Paris SG,1,4
2024-04-24,Marseille,Nice,2,2
2024-04-24,Monaco,Lille,1,0
2024-04-26,Montpellier,Nantes,1,1
2024-04-27,Paris SG,Le Havre,3,3
