Date,Home Team,Away Team,Home Goals,Away Goals
2023-08-18,Werder Bremen,Bayern Munich,0,4
2023-08-19,Augsburg,M'gladbach,4,4
2023-08-19,Hoffenheim,Freiburg,1,2
2023-08-19,Leverkusen,RB Leipzig,3,2
2023-08-19,Stuttgart,Bochum,5,0
2023-08-19,Wolfsburg,Heidenheim,2,0
2023-08-19,Dortmund,FC Koln,1,0
2023-08-20,Union Berlin,Mainz,4,1
2023-08-20,Ein Frankfurt,Darmstadt,1,0
2023-08-25,RB Leipzig,Stuttgart,5,1
2023-08-26,Bochum,Dortmund,1,1
2023-08-26,Darmstadt,Union Berlin,1,4
2023-08-26,FC Koln,Wolfsburg,1,2
2023-08-26,Freiburg,Werder Bremen,1,0
2023-08-26,Heidenheim,Hoffenheim,2,3
2023-08-26,M'gladbach,Leverkusen,0,3
2023-08-27,Mainz,Ein Frankfurt,1,1
2023-08-27,Bayern Munich,Augsburg,3,1
2023-09-01,Dortmund,Heidenheim,2,2
2023-09-02,Augsburg,Bochum,2,2
2023-09-02,Hoffenheim,Wolfsburg,3,1
2023-09-02,Leverkusen,Darmstadt,5,1
2023-09-02,Stuttgart,Freiburg,5,0
2023-09-02,Werder Bremen,Mainz,4,0
2023-09-02,M'gladbach,Bayern Munich,1,2
2023-09-03,Ein Frankfurt,FC Koln,1,1
2023-09-03,Union Berlin,RB Leipzig,0,3
2023-09-15,Bayern Munich,Leverkusen,2,2
2023-09-16,FC Koln,Hoffenheim,1,3
2023-09-16,Freiburg,Dortmund,2,4
2023-09-16,Mainz,Stuttgart,1,3
2023-09-16,RB Leipzig,Augsburg,3,0
2023-09-16,Wolfsburg,Union Berlin,2,1
2023-09-16,Bochum,Ein Frankfurt,1,1
2023-09-17,Heidenheim,Werder Bremen,4,2
2023-09-17,Darmstadt,M'gladbach,3,3
2023-09-22,Stuttgart,Darmstadt,3,1
2023-09-23,Augsburg,Mainz,2,1
2023-09-23,Bayern Munich,Bochum,7,0
2023-09-23,Dortmund,Wolfsburg,1,0
2023-09-23,M'gladbach,RB Leipzig,0,1
2023-09-23,Union Berlin,Hoffenheim,0,2
2023-09-23,Werder Bremen,FC Koln,2,1
2023-09-24,Leverkusen,Heidenheim,4,1
2023-09-24,Ein Frankfurt,Freiburg,0,0
2023-09-29,Hoffenheim,Dortmund,1,3
2023-09-30,Bochum,M'gladbach,1,3
2023-09-30,FC Koln,Stuttgart,0,2
2023-09-30,Heidenheim,Union Berlin,1,0
2023-09-30,Mainz,Leverkusen,0,3
2023-09-30,Wolfsburg,Ein Frankfurt,2,0
2023-09-30,RB Leipzig,Bayern Munich,2,2
2023-10-01,Darmstadt,Werder Bremen,4,2
2023-10-01,Freiburg,Augsburg,2,0
2023-10-06,M'gladbach,Mainz,2,2
2023-10-07,Augsburg,Darmstadt,1,2
2023-10-07,Dortmund,Union Berlin,4,2
2023-10-07,RB Leipzig,Bochum,0,0
2023-10-07,Stuttgart,Wolfsburg,3,1
2023-10-07,Werder Bremen,Hoffenheim,2,3
2023-10-08,Leverkusen,FC Koln,3,0
2023-10-08,Bayern Munich,Freiburg,3,0
2023-10-08,Ein Frankfurt,Heidenheim,2,0
2023-10-20,Dortmund,Werder Bremen,1,0
2023-10-21,Darmstadt,RB Leipzig,1,3
2023-10-21,Freiburg,Bochum,2,1
2023-10-21,Hoffenheim,Ein Frankfurt,1,3
2023-10-21,Union Berlin,Stuttgart,0,3
2023-10-21,Wolfsburg,Leverkusen,1,2
2023-10-21,Mainz,Bayern Munich,1,3
2023-10-22,FC Koln,M'gladbach,3,1
2023-10-22,Heidenheim,Augsburg,2,5
2023-10-27,Bochum,Mainz,2,2
2023-10-28,Augsburg,Wolfsburg,3,2
2023-10-28,Bayern Munich,Darmstadt,8,0
2023-10-28,M'gladbach,Heidenheim,2,1
2023-10-28,Stuttgart,Hoffenheim,2,3
2023-10-28,Werder Bremen,Union Berlin,2,0
2023-10-28,RB Leipzig,FC Koln,6,0
2023-10-29,Ein Frankfurt,Dortmund,3,3
2023-10-29,Leverkusen,Freiburg,2,1
2023-11-03,Darmstadt,Bochum,1,2
2023-11-04,FC Koln,Augsburg,1,1
2023-11-04,Freiburg,M'gladbach,3,3
2023-11-04,Hoffenheim,Leverkusen,2,3
2023-11-04,Mainz,RB Leipzig,2,0
2023-11-04,Union Berlin,Ein Frankfurt,0,3
2023-11-04,Dortmund,Bayern Munich,0,4
2023-11-05,Wolfsburg,Werder Bremen,2,2
2023-11-05,Heidenheim,Stuttgart,2,0
2023-11-10,M'gladbach,Wolfsburg,4,0
2023-11-11,Augsburg,Hoffenheim,1,1
2023-11-11,Bayern Munich,Heidenheim,4,2
2023-11-11,Darmstadt,Mainz,0,0
2023-11-11,Stuttgart,Dortmund,2,1
2023-11-11,Bochum,FC Koln,1,1
2023-11-12,Leverkusen,Union Berlin,4,0
2023-11-12,Werder Bremen,Ein Frankfurt,2,2
2023-11-12,RB Leipzig,Freiburg,3,1
2023-11-24,FC Koln,Bayern Munich,0,1
2023-11-25,Dortmund,M'gladbach,4,2
2023-11-25,Freiburg,Darmstadt,1,1
2023-11-25,Union Berlin,Augsburg,1,1
2023-11-25,Werder Bremen,Leverkusen,0,3
2023-11-25,Wolfsburg,RB Leipzig,2,1
2023-11-25,Ein Frankfurt,Stuttgart,1,2
2023-11-26,Heidenheim,Bochum,0,0
2023-11-26,Hoffenheim,Mainz,1,1
2023-12-01,Darmstadt,FC Koln,0,1
2023-12-02,Bochum,Wolfsburg,3,1
2023-12-02,M'gladbach,Hoffenheim,2,1
2023-12-02,RB Leipzig,Heidenheim,2,1
2023-12-02,Stuttgart,Werder Bremen,2,0
2023-12-03,Mainz,Freiburg,0,1
2023-12-03,Leverkusen,Dortmund,1,1
2023-12-03,Augsburg,Ein Frankfurt,2,1
2023-12-08,Hoffenheim,Bochum,3,1
2023-12-09,Ein Frankfurt,Bayern Munich,5,1
2023-12-09,Heidenheim,Darmstadt,3,2
2023-12-09,Union Berlin,M'gladbach,3,1
2023-12-09,Werder Bremen,Augsburg,2,0
2023-12-09,Wolfsburg,Freiburg,0,1
2023-12-09,Dortmund,RB Leipzig,2,3
2023-12-10,Stuttgart,Leverkusen,1,1
2023-12-10,FC Koln,Mainz,0,0
2023-12-15,M'gladbach,Werder Bremen,2,2
2023-12-16,Augsburg,Dortmund,1,1
2023-12-16,Bochum,Union Berlin,3,0
2023-12-16,Darmstadt,Wolfsburg,0,1
2023-12-16,Mainz,Heidenheim,0,1
2023-12-16,RB Leipzig,Hoffenheim,3,1
2023-12-17,Freiburg,FC Koln,2,0
2023-12-17,Leverkusen,Ein Frankfurt,3,0
2023-12-17,Bayern Munich,Stuttgart,3,0
2023-12-19,Werder Bremen,RB Leipzig,1,1
2023-12-19,Dortmund,Mainz,1,1
2023-12-19,Hoffenheim,Darmstadt,3,3
2023-12-20,Union Berlin,FC Koln,2,0
2023-12-20,Ein Frankfurt,M'gladbach,2,1
2023-12-20,Heidenheim,Freiburg,3,2
2023-12-20,Leverkusen,Bochum,4,0
2023-12-20,Stuttgart,Augsburg,3,0
2023-12-20,Wolfsburg,Bayern Munich,1,2
2024-01-12,Bayern Munich,Hoffenheim,3,0
2024-01-13,Augsburg,Leverkusen,0,1
2024-01-13,FC Koln,Heidenheim,1,1
2024-01-13,Freiburg,Union Berlin,0,0
2024-01-13,Mainz,Wolfsburg,1,1
2024-01-13,RB Leipzig,Ein Frankfurt,0,1
2024-01-13,Darmstadt,Dortmund,0,3
2024-01-14,Bochum,Werder Bremen,1,1
2024-01-14,M'gladbach,Stuttgart,3,1
2024-01-20,Bochum,Stuttgart,1,0
2024-01-20,Darmstadt,Ein Frankfurt,2,2
2024-01-20,FC Koln,Dortmund,0,4
2024-01-20,Freiburg,Hoffenheim,3,2
2024-01-20,Heidenheim,Wolfsburg,1,1
2024-01-20,RB Leipzig,Leverkusen,2,3
2024-01-21,Bayern Munich,Werder Bremen,0,1
2024-01-21,M'gladbach,Augsburg,1,2
2024-01-24,Bayern Munich,Union Berlin,1,0
2024-01-26,Ein Frankfurt,Mainz,1,0
2024-01-27,Augsburg,Bayern Munich,2,3
2024-01-27,Hoffenheim,Heidenheim,1,1
2024-01-27,Stuttgart,RB Leipzig,5,2
2024-01-27,Werder Bremen,Freiburg,3,1
2024-01-27,Wolfsburg,FC Koln,1,1
2024-01-27,Leverkusen,M'gladbach,0,0
2024-01-28,Union Berlin,Darmstadt,1,0
2024-01-28,Dortmund,Bochum,3,1
2024-02-02,Heidenheim,Dortmund,0,0
2024-02-03,Bayern Munich,M'gladbach,3,1
2024-02-03,Bochum,Augsburg,1,1
2024-02-03,Darmstadt,Leverkusen,0,2
2024-02-03,Freiburg,Stuttgart,1,3
2024-02-03,Mainz,Werder Bremen,0,1
2024-02-03,FC Koln,Ein Frankfurt,2,0
2024-02-04,Wolfsburg,Hoffenheim,2,2
2024-02-04,RB Leipzig,Union Berlin,2,0
2024-02-07,Mainz,Union Berlin,1,1
2024-02-09,Dortmund,Freiburg,3,0
2024-02-10,Augsburg,RB Leipzig,2,2
2024-02-10,Ein Frankfurt,Bochum,1,1
2024-02-10,M'gladbach,Darmstadt,0,0
2024-02-10,Union Berlin,Wolfsburg,1,0
2024-02-10,Werder Bremen,Heidenheim,1,2
2024-02-10,Leverkusen,Bayern Munich,3,0
2024-02-11,Stuttgart,Mainz,3,1
2024-02-11,Hoffenheim,FC Koln,1,1
2024-02-16,FC Koln,Werder Bremen,0,1
2024-02-17,Darmstadt,Stuttgart,1,2
2024-02-17,Heidenheim,Leverkusen,1,2
2024-02-17,Hoffenheim,Union Berlin,0,1
2024-02-17,Mainz,Augsburg,1,0
2024-02-17,Wolfsburg,Dortmund,1,1
2024-02-17,RB Leipzig,M'gladbach,2,0
2024-02-18,Freiburg,Ein Frankfurt,3,3
2024-02-18,Bochum,Bayern Munich,3,2
2024-02-23,Leverkusen,Mainz,2,1
2024-02-24,M'gladbach,Bochum,5,2
2024-02-24,Stuttgart,FC Koln,1,1
2024-02-24,Union Berlin,Heidenheim,2,2
2024-02-24,Werder Bremen,Darmstadt,1,1
2024-02-24,Bayern Munich,RB Leipzig,2,1
