Date,Home Team,Away Team,Home Goals,Away Goals
2021-08-13,M'gladbach,Bayern Munich,1,1
2021-08-14,Augsburg,Hoffenheim,0,4
2021-08-14,Bielefeld,Freiburg,0,0
2021-08-14,Stuttgart,Greuther Furth,5,1
2021-08-14,Union Berlin,Leverkusen,1,1
2021-08-14,Wolfsburg,Bochum,1,0
2021-08-14,Dortmund,Ein Frankfurt,5,2
2021-08-15,Mainz,RB Leipzig,1,0
2021-08-15,FC Koln,Hertha,3,1
2021-08-20,RB Leipzig,Stuttgart,4,0
2021-08-21,Bochum,Mainz,2,0
2021-08-21,Ein Frankfurt,Augsburg,0,0
2021-08-21,Freiburg,Dortmund,2,1
2021-08-21,Greuther Furth,Bielefeld,1,1
2021-08-21,Hertha,Wolfsburg,1,2
2021-08-21,Leverkusen,M'gladbach,4,0
2021-08-22,Hoffenheim,Union Berlin,2,2
2021-08-22,Bayern Munich,FC Koln,3,2
2021-08-27,Dortmund,Hoffenheim,3,2
2021-08-28,Augsburg,Leverkusen,1,4
2021-08-28,Bielefeld,Ein Frankfurt,1,1
2021-08-28,FC Koln,Bochum,2,1
2021-08-28,Mainz,Greuther Furth,3,0
2021-08-28,Stuttgart,Freiburg,2,3
2021-08-28,Bayern Munich,Hertha,5,0
2021-08-29,Union Berlin,M'gladbach,2,1
2021-08-29,Wolfsburg,RB Leipzig,1,0
2021-09-11,Freiburg,FC Koln,1,1
2021-09-11,Greuther Furth,Wolfsburg,0,2
2021-09-11,Hoffenheim,Mainz,0,2
2021-09-11,Leverkusen,Dortmund,3,4
2021-09-11,Union Berlin,Augsburg,0,0
2021-09-11,RB Leipzig,Bayern Munich,1,4
2021-09-12,Ein Frankfurt,Stuttgart,1,1
2021-09-12,Bochum,Hertha,1,3
2021-09-12,M'gladbach,Bielefeld,3,1
2021-09-17,Hertha,Greuther Furth,2,1
2021-09-18,Augsburg,M'gladbach,1,0
2021-09-18,Bayern Munich,Bochum,7,0
2021-09-18,Bielefeld,Hoffenheim,0,0
2021-09-18,Mainz,Freiburg,0,0
2021-09-18,FC Koln,RB Leipzig,1,1
2021-09-19,Stuttgart,Leverkusen,1,3
2021-09-19,Dortmund,Union Berlin,4,2
2021-09-19,Wolfsburg,Ein Frankfurt,1,1
