Date,Home Team,Away Team,Home Goals,Away Goals
2021-12-02,Torino,Empoli,2,2
2021-12-02,Lazio,Udinese,4,4
2021-12-04,Milan,Salernitana,2,0
2021-12-04,Roma,Inter,0,3
2021-12-04,Napoli,Atalanta,2,3
2021-12-05,Bologna,Fiorentina,2,3
2021-12-05,Spezia,Sassuolo,2,2
2021-12-05,Venezia,Verona,3,4
2021-12-05,Sampdoria,Lazio,1,3
2021-12-05,Juventus,Genoa,2,0
2021-12-06,Empoli,Udinese,3,1
2021-12-06,Cagliari,Torino,1,1
2021-12-10,Genoa,Sampdoria,1,3
2021-12-11,Fiorentina,Salernitana,4,0
2021-12-11,Venezia,Juventus,1,1
2021-12-11,Udinese,Milan,1,1
2021-12-12,Torino,Bologna,2,1
2021-12-12,Verona,Atalanta,1,2
2021-12-12,Napoli,Empoli,0,1
2021-12-12,Sassuolo,Lazio,2,1
2021-12-12,Inter,Cagliari,4,0
2021-12-13,Roma,Spezia,2,0
2021-12-17,Lazio,Genoa,3,1
2021-12-17,Salernitana,Inter,0,5
2021-12-18,Atalanta,Roma,1,4
2021-12-18,Bologna,Juventus,0,2
2021-12-18,Cagliari,Udinese,0,4
2021-12-19,Fiorentina,Sassuolo,2,2
2021-12-19,Spezia,Empoli,1,1
2021-12-19,Sampdoria,Venezia,1,1
2021-12-19,Torino,Verona,1,0
2021-12-19,Milan,Napoli,0,1
2021-12-21,Genoa,Atalanta,0,0
2021-12-21,Juventus,Cagliari,2,0
2021-12-22,Sassuolo,Bologna,0,3
2021-12-22,Venezia,Lazio,1,3
2021-12-22,Inter,Torino,1,0
2021-12-22,Roma,Sampdoria,1,1
2021-12-22,Verona,Fiorentina,1,1
2021-12-22,Empoli,Milan,2,4
2021-12-22,Napoli,Spezia,0,1
2022-01-06,Sampdoria,Cagliari,1,2
2022-01-06,Lazio,Empoli,3,3
2022-01-06,Spezia,Verona,1,2
2022-01-06,Sassuolo,Genoa,1,1
2022-01-06,Milan,Roma,3,1
2022-01-06,Juventus,Napoli,1,1
2022-01-09,Empoli,Sassuolo,1,5
2022-01-09,Venezia,Milan,0,3
2022-01-09,Napoli,Sampdoria,1,0
2022-01-09,Udinese,Atalanta,2,6
2022-01-09,Genoa,Spezia,0,1
2022-01-09,Roma,Juventus,3,4
2022-01-09,Inter,Lazio,2,1
2022-01-09,Verona,Salernitana,1,2
2022-01-10,Torino,Fiorentina,4,0
2022-01-11,Cagliari,Bologna,2,1
2022-01-15,Sampdoria,Torino,1,2
2022-01-15,Salernitana,Lazio,0,3
2022-01-15,Juventus,Udinese,2,0
2022-01-16,Sassuolo,Verona,2,4
2022-01-16,Venezia,Empoli,1,1
2022-01-16,Roma,Cagliari,1,0
2022-01-16,Atalanta,Inter,0,0
2022-01-17,Bologna,Napoli,0,2
2022-01-17,Milan,Spezia,1,2
2022-01-17,Fiorentina,Genoa,6,0
2022-01-21,Verona,Bologna,2,1
2022-01-22,Genoa,Udinese,0,0
2022-01-22,Inter,Venezia,2,1
2022-01-22,Lazio,Atalanta,0,0
