Date,Home Team,Away Team,Home Goals,Away Goals
2022-08-12,Osasuna,Sevilla,2,1
2022-08-13,Celta,Espanol,2,2
2022-08-13,Valladolid,Villarreal,0,3
2022-08-13,Barcelona,Vallecano,0,0
2022-08-14,Cadiz,Sociedad,0,1
2022-08-14,Valencia,Girona,1,0
2022-08-14,Almeria,Real Madrid,1,2
2022-08-15,Ath Bilbao,Mallorca,0,0
2022-08-15,Getafe,Ath Madrid,0,3
2022-08-15,Betis,Elche,3,0
2022-08-19,Espanol,Vallecano,0,2
2022-08-19,Sevilla,Valladolid,1,1
2022-08-20,Osasuna,Cadiz,2,0
2022-08-20,Mallorca,Betis,1,2
2022-08-20,Celta,Real Madrid,1,4
2022-08-21,Ath Bilbao,Valencia,1,0
2022-08-21,Ath Madrid,Villarreal,0,2
2022-08-21,Sociedad,Barcelona,1,4
2022-08-22,Elche,Almeria,1,1
2022-08-22,Girona,Getafe,3,1
2022-08-26,Girona,Celta,0,1
2022-08-26,Betis,Osasuna,1,0
2022-08-27,Elche,Sociedad,0,1
2022-08-27,Vallecano,Mallorca,0,2
2022-08-27,Almeria,Sevilla,2,1
2022-08-28,Getafe,Villarreal,0,0
2022-08-28,Barcelona,Valladolid,4,0
2022-08-28,Espanol,Real Madrid,1,3
2022-08-29,Cadiz,Ath Bilbao,0,4
2022-08-29,Valencia,Ath Madrid,0,1
2022-09-02,Celta,Cadiz,3,0
2022-09-03,Mallorca,Girona,1,1
2022-09-03,Real Madrid,Betis,2,1
2022-09-03,Sociedad,Ath Madrid,1,1
2022-09-03,Sevilla,Barcelona,0,3
2022-09-04,Osasuna,Vallecano,2,1
2022-09-04,Ath Bilbao,Espanol,0,1
2022-09-04,Villarreal,Elche,4,0
2022-09-04,Valencia,Getafe,5,1
2022-09-05,Valladolid,Almeria,1,0
2022-09-09,Girona,Valladolid,2,1
2022-09-10,Vallecano,Valencia,2,1
2022-09-10,Espanol,Sevilla,2,3
2022-09-10,Cadiz,Barcelona,0,4
2022-09-10,Ath Madrid,Celta,4,1
2022-09-11,Real Madrid,Mallorca,4,1
2022-09-11,Elche,Ath Bilbao,1,4
2022-09-11,Getafe,Sociedad,2,1
2022-09-11,Betis,Villarreal,1,0
2022-09-12,Almeria,Osasuna,0,1
2022-09-16,Valladolid,Cadiz,0,1
2022-09-17,Mallorca,Almeria,1,0
2022-09-17,Barcelona,Elche,3,0
2022-09-17,Valencia,Celta,3,0
2022-09-17,Ath Bilbao,Vallecano,3,2
2022-09-18,Osasuna,Getafe,0,2
2022-09-18,Villarreal,Sevilla,1,1
2022-09-18,Betis,Girona,2,1
2022-09-18,Sociedad,Espanol,2,1
2022-09-18,Ath Madrid,Real Madrid,1,2
2022-09-30,Ath Bilbao,Almeria,4,0
2022-10-01,Cadiz,Villarreal,0,0
2022-10-01,Getafe,Valladolid,2,3
2022-10-01,Sevilla,Ath Madrid,0,2
2022-10-01,Mallorca,Barcelona,0,1
2022-10-02,Espanol,Valencia,2,2
2022-10-02,Celta,Betis,1,0
2022-10-02,Girona,Sociedad,3,5
2022-10-02,Real Madrid,Osasuna,1,1
2022-10-03,Vallecano,Elche,2,1
2022-10-07,Osasuna,Valencia,1,2
2022-10-08,Almeria,Vallecano,3,1
2022-10-08,Ath Madrid,Girona,2,1
2022-10-08,Sevilla,Ath Bilbao,1,1
2022-10-08,Getafe,Real Madrid,0,1
2022-10-09,Valladolid,Betis,0,0
2022-10-09,Cadiz,Espanol,2,2
2022-10-09,Sociedad,Villarreal,1,0
2022-10-09,Barcelona,Celta,1,0
2022-10-10,Elche,Mallorca,1,1
2022-10-14,Vallecano,Getafe,0,0
2022-10-15,Girona,Cadiz,1,1
2022-10-15,Valencia,Elche,2,2
2022-10-15,Mallorca,Sevilla,0,1
2022-10-15,Ath Bilbao,Ath Madrid,0,1
2022-10-16,Celta,Sociedad,1,2
2022-10-16,Real Madrid,Barcelona,3,1
2022-10-16,Espanol,Valladolid,1,0
2022-10-16,Betis,Almeria,3,1
2022-10-17,Villarreal,Osasuna,2,0
2022-10-18,Sevilla,Valencia,1,1
2022-10-18,Getafe,Ath Bilbao,2,2
2022-10-18,Ath Madrid,Vallecano,1,1
2022-10-19,Cadiz,Betis,0,0
2022-10-19,Valladolid,Celta,4,1
2022-10-19,Sociedad,Mallorca,1,0
2022-10-19,Elche,Real Madrid,0,3
2022-10-20,Almeria,Girona,3,2
2022-10-20,Osasuna,Espanol,1,0
2022-10-20,Barcelona,Villarreal,3,0
2022-10-22,Vallecano,Cadiz,5,1
2022-10-22,Valladolid,Sociedad,1,0
2022-10-22,Valencia,Mallorca,1,2
2022-10-22,Real Madrid,Sevilla,3,1
2022-10-23,Espanol,Elche,2,2
2022-10-23,Betis,Ath Madrid,1,2
2022-10-23,Girona,Osasuna,1,1
2022-10-23,Villarreal,Almeria,2,1
2022-10-23,Barcelona,Ath Bilbao,4,0
2022-10-24,Celta,Getafe,1,1
2022-10-28,Mallorca,Espanol,1,1
2022-10-29,Almeria,Celta,3,1
2022-10-29,Cadiz,Ath Madrid,3,2
2022-10-29,Sevilla,Vallecano,0,1
2022-10-29,Valencia,Barcelona,0,1
2022-10-30,Osasuna,Valladolid,2,0
2022-10-30,Real Madrid,Girona,1,1
2022-10-30,Ath Bilbao,Villarreal,1,0
2022-10-30,Sociedad,Betis,0,2
2022-10-31,Elche,Getafe,0,1
2022-11-04,Girona,Ath Bilbao,2,1
2022-11-05,Getafe,Cadiz,0,0
2022-11-05,Valladolid,Elche,2,1
2022-11-05,Celta,Osasuna,1,2
2022-11-05,Barcelona,Almeria,2,0
2022-11-06,Ath Madrid,Espanol,1,1
2022-11-06,Sociedad,Valencia,1,1
2022-11-06,Villarreal,Mallorca,0,2
2022-11-06,Betis,Sevilla,1,1
2022-11-07,Vallecano,Real Madrid,3,2
2022-11-08,Elche,Girona,1,2
2022-11-08,Ath Bilbao,Valladolid,3,0
2022-11-08,Osasuna,Barcelona,1,2
2022-11-09,Almeria,Getafe,1,0
2022-11-09,Sevilla,Sociedad,1,2
2022-11-09,Espanol,Villarreal,0,1
2022-11-09,Mallorca,Ath Madrid,1,0
2022-11-10,Vallecano,Celta,0,0
