Date,Home Team,Away Team,Home Goals,Away Goals
2022-08-13,Milan,Udinese,4,2
2022-08-13,Sampdoria,Atalanta,0,2
2022-08-13,Lecce,Inter,1,2
2022-08-13,Monza,Torino,1,2
2022-08-14,Fiorentina,Cremonese,3,2
2022-08-14,Lazio,Bologna,2,1
2022-08-14,Salernitana,Roma,0,1
2022-08-14,Spezia,Empoli,1,0
2022-08-15,Verona,Napoli,2,5
2022-08-15,Juventus,Sassuolo,3,0
2022-08-20,Torino,Lazio,0,0
2022-08-20,Udinese,Salernitana,0,0
2022-08-20,Inter,Spezia,3,0
2022-08-20,Sassuolo,Lecce,1,0
2022-08-21,Empoli,Fiorentina,0,0
2022-08-21,Napoli,Monza,4,0
2022-08-21,Atalanta,Milan,1,1
2022-08-21,Bologna,Verona,1,1
2022-08-22,Roma,Cremonese,1,0
2022-08-22,Sampdoria,Juventus,0,0
2022-08-26,Monza,Udinese,1,2
2022-08-26,Lazio,Inter,3,1
2022-08-27,Cremonese,Torino,1,2
2022-08-27,Juventus,Roma,1,1
2022-08-27,Milan,Bologna,2,0
2022-08-27,Spezia,Sassuolo,2,2
2022-08-28,Salernitana,Sampdoria,4,0
2022-08-28,Verona,Atalanta,0,1
2022-08-28,Fiorentina,Napoli,0,0
2022-08-28,Lecce,Empoli,1,1
2022-08-30,Sassuolo,Milan,0,0
2022-08-30,Inter,Cremonese,3,1
2022-08-30,Roma,Monza,3,0
2022-08-31,Empoli,Verona,1,1
2022-08-31,Sampdoria,Lazio,1,1
2022-08-31,Udinese,Fiorentina,1,0
2022-08-31,Juventus,Spezia,2,0
2022-08-31,Napoli,Lecce,1,1
2022-09-01,Atalanta,Torino,3,1
2022-09-01,Bologna,Salernitana,1,1
2022-09-03,Fiorentina,Juventus,1,1
2022-09-03,Milan,Inter,3,2
2022-09-03,Lazio,Napoli,1,2
2022-09-04,Cremonese,Sassuolo,0,0
2022-09-04,Spezia,Bologna,2,2
2022-09-04,Verona,Sampdoria,2,1
2022-09-04,Udinese,Roma,4,0
2022-09-05,Monza,Atalanta,0,2
2022-09-05,Salernitana,Empoli,2,2
2022-09-05,Torino,Lecce,1,0
2022-09-10,Napoli,Spezia,1,0
2022-09-10,Inter,Torino,1,0
2022-09-10,Sampdoria,Milan,1,2
2022-09-11,Atalanta,Cremonese,1,1
2022-09-11,Bologna,Fiorentina,2,1
2022-09-11,Lecce,Monza,1,1
2022-09-11,Sassuolo,Udinese,1,3
2022-09-11,Lazio,Verona,2,0
2022-09-11,Juventus,Salernitana,2,2
2022-09-12,Empoli,Roma,1,2
2022-09-16,Salernitana,Lecce,1,2
2022-09-17,Bologna,Empoli,0,1
2022-09-17,Spezia,Sampdoria,2,1
2022-09-17,Torino,Sassuolo,0,1
2022-09-18,Udinese,Inter,3,1
2022-09-18,Cremonese,Lazio,0,4
2022-09-18,Fiorentina,Verona,2,0
2022-09-18,Monza,Juventus,1,0
2022-09-18,Roma,Atalanta,0,1
2022-09-18,Milan,Napoli,1,2
2022-10-01,Napoli,Torino,3,1
2022-10-01,Inter,Roma,1,2
2022-10-01,Empoli,Milan,1,3
2022-10-02,Lazio,Spezia,4,0
2022-10-02,Lecce,Cremonese,1,1
2022-10-02,Sampdoria,Monza,0,3
2022-10-02,Sassuolo,Salernitana,5,0
2022-10-02,Atalanta,Fiorentina,1,0
2022-10-02,Juventus,Bologna,3,0
2022-10-03,Verona,Udinese,1,2
2022-10-08,Sassuolo,Inter,1,2
2022-10-08,Milan,Juventus,2,0
2022-10-08,Bologna,Sampdoria,1,1
2022-10-09,Torino,Empoli,1,1
2022-10-09,Monza,Spezia,2,0
2022-10-09,Salernitana,Verona,2,1
2022-10-09,Udinese,Atalanta,2,2
2022-10-09,Cremonese,Napoli,1,4
2022-10-09,Roma,Lecce,2,1
2022-10-10,Fiorentina,Lazio,0,4
2022-10-15,Empoli,Monza,1,0
2022-10-15,Torino,Juventus,0,1
2022-10-15,Atalanta,Sassuolo,2,1
2022-10-16,Inter,Salernitana,2,0
2022-10-16,Lazio,Udinese,0,0
2022-10-16,Spezia,Cremonese,2,2
2022-10-16,Napoli,Bologna,3,2
2022-10-16,Verona,Milan,1,2
2022-10-17,Sampdoria,Roma,0,1
2022-10-17,Lecce,Fiorentina,1,1
2022-10-21,Juventus,Empoli,4,0
2022-10-22,Salernitana,Spezia,1,0
2022-10-22,Milan,Monza,4,1
2022-10-22,Fiorentina,Inter,3,4
2022-10-23,Udinese,Torino,1,2
2022-10-23,Bologna,Lecce,2,0
2022-10-23,Atalanta,Lazio,0,2
2022-10-23,Roma,Napoli,0,1
2022-10-24,Cremonese,Sampdoria,0,1
2022-10-24,Sassuolo,Verona,2,1
2022-10-29,Napoli,Sassuolo,4,0
2022-10-29,Lecce,Juventus,0,1
2022-10-29,Inter,Sampdoria,3,0
2022-10-30,Empoli,Atalanta,0,2
2022-10-30,Cremonese,Udinese,0,0
2022-10-30,Spezia,Fiorentina,1,2
2022-10-30,Lazio,Salernitana,1,3
2022-10-30,Torino,Milan,2,1
2022-10-31,Verona,Roma,1,3
2022-10-31,Monza,Bologna,1,2
2022-11-04,Udinese,Lecce,1,1
2022-11-05,Empoli,Sassuolo,1,0
2022-11-05,Salernitana,Cremonese,2,2
2022-11-05,Atalanta,Napoli,1,2
2022-11-05,Milan,Spezia,2,1
2022-11-06,Bologna,Torino,2,1
