Date,Home Team,Away Team,Home Goals,Away Goals
2022-08-05,Ein Frankfurt,Bayern Munich,1,6
2022-08-06,Augsburg,Freiburg,0,4
2022-08-06,Bochum,Mainz,1,2
2022-08-06,M'gladbach,Hoffenheim,3,1
2022-08-06,Union Berlin,Hertha,3,1
2022-08-06,Wolfsburg,Werder Bremen,2,2
2022-08-06,Dortmund,Leverkusen,1,0
2022-08-07,Stuttgart,RB Leipzig,1,1
2022-08-07,FC Koln,Schalke 04,3,1
2022-08-12,Freiburg,Dortmund,1,3
2022-08-13,Hertha,Ein Frankfurt,1,1
2022-08-13,Hoffenheim,Bochum,3,2
2022-08-13,Leverkusen,Augsburg,1,2
2022-08-13,RB Leipzig,FC Koln,2,2
2022-08-13,Werder Bremen,Stuttgart,2,2
2022-08-13,Schalke 04,M'gladbach,2,2
2022-08-14,Mainz,Union Berlin,0,0
2022-08-14,Bayern Munich,Wolfsburg,2,0
2022-08-19,M'gladbach,Hertha,1,0
2022-08-20,Augsburg,Mainz,1,2
2022-08-20,Dortmund,Werder Bremen,2,3
2022-08-20,Leverkusen,Hoffenheim,0,3
2022-08-20,Stuttgart,Freiburg,0,1
2022-08-20,Wolfsburg,Schalke 04,0,0
2022-08-20,Union Berlin,RB Leipzig,2,1
2022-08-21,Ein Frankfurt,FC Koln,1,1
2022-08-21,Bochum,Bayern Munich,0,7
2022-08-26,Freiburg,Bochum,1,0
2022-08-27,Hertha,Dortmund,0,1
2022-08-27,Hoffenheim,Augsburg,1,0
2022-08-27,Mainz,Leverkusen,0,3
2022-08-27,RB Leipzig,Wolfsburg,2,0
2022-08-27,Schalke 04,Union Berlin,1,6
2022-08-27,Bayern Munich,M'gladbach,1,1
2022-08-28,FC Koln,Stuttgart,0,0
2022-08-28,Werder Bremen,Ein Frankfurt,3,4
2022-09-02,Dortmund,Hoffenheim,1,0
2022-09-03,Bochum,Werder Bremen,0,2
2022-09-03,Leverkusen,Freiburg,2,3
2022-09-03,Stuttgart,Schalke 04,1,1
2022-09-03,Union Berlin,Bayern Munich,1,1
2022-09-03,Wolfsburg,FC Koln,2,4
2022-09-03,Ein Frankfurt,RB Leipzig,4,0
2022-09-04,Augsburg,Hertha,0,2
2022-09-04,M'gladbach,Mainz,0,1
2022-09-09,Werder Bremen,Augsburg,0,1
2022-09-10,Bayern Munich,Stuttgart,2,2
2022-09-10,Ein Frankfurt,Wolfsburg,0,1
2022-09-10,Hertha,Leverkusen,2,2
2022-09-10,Hoffenheim,Mainz,4,1
2022-09-10,RB Leipzig,Dortmund,3,0
2022-09-10,Schalke 04,Bochum,3,1
2022-09-11,FC Koln,Union Berlin,0,1
2022-09-11,Freiburg,M'gladbach,0,0
2022-09-16,Mainz,Hertha,1,1
2022-09-17,Augsburg,Bayern Munich,1,0
2022-09-17,Dortmund,Schalke 04,1,0
2022-09-17,Leverkusen,Werder Bremen,1,1
2022-09-17,Stuttgart,Ein Frankfurt,1,3
2022-09-17,M'gladbach,RB Leipzig,3,0
2022-09-18,Union Berlin,Wolfsburg,2,0
2022-09-18,Bochum,FC Koln,1,1
2022-09-18,Hoffenheim,Freiburg,0,0
2022-09-30,Bayern Munich,Leverkusen,4,0
2022-10-01,Ein Frankfurt,Union Berlin,2,0
2022-10-01,FC Koln,Dortmund,3,2
2022-10-01,Freiburg,Mainz,2,1
2022-10-01,RB Leipzig,Bochum,4,0
2022-10-01,Wolfsburg,Stuttgart,3,2
2022-10-01,Werder Bremen,M'gladbach,5,1
2022-10-02,Hertha,Hoffenheim,1,1
2022-10-02,Schalke 04,Augsburg,2,3
2022-10-07,Hoffenheim,Werder Bremen,1,2
2022-10-08,Augsburg,Wolfsburg,1,1
2022-10-08,Bochum,Ein Frankfurt,3,0
2022-10-08,Leverkusen,Schalke 04,4,0
2022-10-08,Mainz,RB Leipzig,1,1
2022-10-08,Dortmund,Bayern Munich,2,2
2022-10-09,M'gladbach,FC Koln,5,2
2022-10-09,Hertha,Freiburg,2,2
2022-10-09,Stuttgart,Union Berlin,0,1
2022-10-14,Schalke 04,Hoffenheim,0,3
2022-10-15,Ein Frankfurt,Leverkusen,5,1
2022-10-15,Stuttgart,Bochum,4,1
2022-10-15,Werder Bremen,Mainz,0,2
2022-10-15,Wolfsburg,M'gladbach,2,2
2022-10-15,RB Leipzig,Hertha,3,2
2022-10-16,FC Koln,Augsburg,3,2
2022-10-16,Union Berlin,Dortmund,2,0
2022-10-16,Bayern Munich,Freiburg,5,0
2022-10-21,Mainz,FC Koln,5,0
2022-10-22,Augsburg,RB Leipzig,3,3
2022-10-22,Dortmund,Stuttgart,5,0
2022-10-22,Freiburg,Werder Bremen,2,0
2022-10-22,Hoffenheim,Bayern Munich,0,2
2022-10-22,Leverkusen,Wolfsburg,2,2
2022-10-22,M'gladbach,Ein Frankfurt,1,3
2022-10-23,Bochum,Union Berlin,2,1
2022-10-23,Hertha,Schalke 04,2,1
2022-10-28,Werder Bremen,Hertha,1,0
2022-10-29,Bayern Munich,Mainz,6,2
2022-10-29,RB Leipzig,Leverkusen,2,0
2022-10-29,Stuttgart,Augsburg,2,1
2022-10-29,Wolfsburg,Bochum,4,0
2022-10-29,Ein Frankfurt,Dortmund,1,2
2022-10-30,Union Berlin,M'gladbach,2,1
2022-10-30,Schalke 04,Freiburg,0,2
2022-10-30,FC Koln,Hoffenheim,1,1
2022-11-04,M'gladbach,Stuttgart,3,1
2022-11-05,Augsburg,Ein Frankfurt,1,2
2022-11-05,Dortmund,Bochum,3,0
2022-11-05,Hertha,Bayern Munich,2,3
2022-11-05,Hoffenheim,RB Leipzig,1,3
2022-11-05,Mainz,Wolfsburg,0,3
2022-11-05,Werder Bremen,Schalke 04,2,1
2022-11-06,Leverkusen,Union Berlin,5,0
2022-11-06,Freiburg,FC Koln,2,0
2022-11-08,Wolfsburg,Dortmund,2,0
2022-11-08,Bayern Munich,Werder Bremen,6,1
2022-11-08,Bochum,M'gladbach,2,1
2022-11-08,Stuttgart,Hertha,2,1
2022-11-09,FC Koln,Leverkusen,1,2
